cat,east,north,altitud
521,437256.25,762118.75,2974.00000000
522,437618.75,762131.25,2947.00000000
523,437956.25,762037.5,2963.00000000
524,444631.25,762118.75,2722.00000000
525,448262.5,762043.75,2636.00000000
526,436681.25,761912.5,2993.00000000
527,447162.5,762081.25,2692.00000000
528,444300,762081.25,2767.00000000
529,435337.5,762025,2976.00000000
530,433143.75,762056.25,2910.00000000
531,445637.5,762018.75,2754.00000000
532,447800,762012.5,2644.00000000
533,433931.25,762031.25,2918.00000000
534,446256.25,762000,2713.00000000
535,431206.25,762050,2817.00000000
536,431756.25,761962.5,2820.00000000
537,433318.75,761993.75,2915.00000000
538,435237.5,761956.25,2986.00000000
539,436443.75,762006.25,2983.00000000
540,442043.75,762000,2843.00000000
541,446206.25,762006.25,2707.00000000
542,446456.25,761987.5,2712.00000000
543,448100,761981.25,2639.00000000
544,437825,761956.25,2953.00000000
545,432775,761868.75,2921.00000000
546,434012.5,761956.25,2926.00000000
547,446250,761893.75,2725.00000000
548,434425,761931.25,2927.00000000
549,438825,761881.25,2917.00000000
550,447962.5,761918.75,2644.00000000
551,448681.25,761918.75,2592.00000000
552,447587.5,761856.25,2653.00000000
553,436431.25,761906.25,2989.00000000
554,446931.25,761893.75,2686.00000000
555,437843.75,761825,2960.00000000
556,446800,761868.75,2697.00000000
557,433437.5,761856.25,2898.00000000
558,440175,761818.75,2837.00000000
559,439668.75,761843.75,2854.00000000
560,435125,761843.75,2982.00000000
561,447462.5,761818.75,2650.00000000
562,432268.75,761831.25,2849.00000000
563,434231.25,761825,2939.00000000
564,438531.25,761843.75,2920.00000000
565,446862.5,761843.75,2688.00000000
566,446962.5,761843.75,2684.00000000
567,432175,761793.75,2857.00000000
568,434000,761643.75,2967.00000000
569,447050,761806.25,2678.00000000
570,435950,761750,2963.00000000
571,437168.75,761793.75,2974.00000000
572,445425,761756.25,2725.00000000
573,447143.75,761781.25,2673.00000000
574,447318.75,761756.25,2663.00000000
575,437025,761743.75,2985.00000000
576,432556.25,761718.75,2904.00000000
577,436850,761687.5,3000.00000000
578,438425,761700,2935.00000000
579,440818.75,761725,2849.00000000
580,443606.25,761731.25,2752.00000000
581,437231.25,761718.75,2970.00000000
582,437725,761656.25,2966.00000000
583,435212.5,761650,2968.00000000
584,438087.5,761531.25,2953.00000000
585,440781.25,761681.25,2851.00000000
586,429150,761631.25,2728.00000000
587,437556.25,761581.25,2972.00000000
588,440643.75,761612.5,2869.00000000
589,440481.25,761643.75,2848.00000000
590,443800,761625,2763.00000000
591,444425,761631.25,2709.00000000
592,443706.25,761550,2773.00000000
593,447387.5,761556.25,2650.00000000
594,433837.5,761581.25,2948.00000000
595,436818.75,761575,2992.00000000
596,428718.75,761550,2699.00000000
597,436475,761543.75,2976.00000000
598,447887.5,761418.75,2649.00000000
599,448300,761437.5,2641.00000000
600,437200,761450,2975.00000000
601,448700,761393.75,2649.00000000
602,437400,761506.25,2967.00000000
603,430450,761306.25,2926.00000000
604,447643.75,761443.75,2638.00000000
605,444100,761462.5,2738.00000000
606,446900,761387.5,2657.00000000
607,447443.75,761437.5,2654.00000000
608,426737.5,761168.75,2521.00000000
609,436756.25,761468.75,2984.00000000
610,437268.75,761468.75,2969.00000000
611,439681.25,761293.75,2868.00000000
612,436350,761281.25,2971.00000000
613,445100,761418.75,2682.00000000
614,433668.75,761400,2928.00000000
615,440568.75,761406.25,2842.00000000
616,438562.5,761368.75,2921.00000000
617,439087.5,761375,2895.00000000
618,435768.75,761381.25,2921.00000000
619,435275,761343.75,2935.00000000
620,438181.25,761368.75,2932.00000000
621,438568.75,761143.75,2909.00000000
622,449275,761281.25,2615.00000000
623,435181.25,761293.75,2934.00000000
624,431856.25,761325,2844.00000000
625,433500,761256.25,2927.00000000
626,447000,761312.5,2646.00000000
627,445393.75,761275,2676.00000000
628,448231.25,761268.75,2615.00000000
629,448962.5,761268.75,2628.00000000
630,449118.75,761293.75,2615.00000000
631,448881.25,761281.25,2620.00000000
632,449137.5,761231.25,2622.00000000
633,443593.75,761218.75,2734.00000000
634,449975,761231.25,2539.00000000
635,442162.5,761212.5,2770.00000000
636,442962.5,761162.5,2762.00000000
637,446156.25,761181.25,2614.00000000
638,430756.25,761143.75,2920.00000000
639,439512.5,761168.75,2849.00000000
640,436356.25,761156.25,2969.00000000
641,436362.5,761043.75,2977.00000000
642,430906.25,761093.75,2907.00000000
643,435881.25,761087.5,2902.00000000
644,449962.5,761106.25,2547.00000000
645,448150,761093.75,2597.00000000
646,448756.25,761093.75,2611.00000000
647,444206.25,761093.75,2692.00000000
648,439681.25,761081.25,2862.00000000
649,443125,761081.25,2745.00000000
650,445493.75,760968.75,2672.00000000
651,431093.75,761068.75,2891.00000000
652,431268.75,761031.25,2908.00000000
653,439100,761043.75,2866.00000000
654,434068.75,760981.25,2901.00000000
655,443018.75,761018.75,2753.00000000
656,426443.75,761006.25,2506.00000000
657,439600,760962.5,2873.00000000
658,426187.5,760912.5,2510.00000000
659,436718.75,760956.25,2946.00000000
660,433987.5,760956.25,2893.00000000
661,444456.25,760893.75,2690.00000000
662,442925,760943.75,2755.00000000
663,442981.25,760943.75,2756.00000000
664,433468.75,760868.75,2893.00000000
665,444593.75,760918.75,2670.00000000
666,449925,760956.25,2558.00000000
667,436593.75,760906.25,2948.00000000
668,427775,760887.5,2584.00000000
669,436881.25,760868.75,2944.00000000
670,431556.25,760868.75,2923.00000000
671,435412.5,760856.25,2897.00000000
672,438656.25,760837.5,2915.00000000
673,435481.25,760868.75,2894.00000000
674,435725,760843.75,2898.00000000
675,437681.25,760781.25,2937.00000000
676,432137.5,760806.25,2906.00000000
677,437793.75,760825,2935.00000000
678,437200,760768.75,2954.00000000
679,439662.5,760743.75,2861.00000000
680,445543.75,760806.25,2664.00000000
681,434837.5,760750,2912.00000000
682,434943.75,760781.25,2901.00000000
683,435475,760756.25,2904.00000000
684,449925,760756.25,2552.00000000
685,434681.25,760781.25,2901.00000000
686,439181.25,760756.25,2862.00000000
687,449231.25,760743.75,2575.00000000
688,434081.25,760768.75,2891.00000000
689,437887.5,760756.25,2927.00000000
690,432312.5,760756.25,2893.00000000
691,435675,760731.25,2901.00000000
692,427693.75,760743.75,2593.00000000
693,432631.25,760687.5,2895.00000000
694,433756.25,760743.75,2874.00000000
695,439800,760668.75,2869.00000000
696,433706.25,760418.75,2888.00000000
697,434893.75,760731.25,2905.00000000
698,436331.25,760700,2963.00000000
699,430862.5,760718.75,2860.00000000
700,437931.25,760706.25,2925.00000000
701,436631.25,760668.75,2945.00000000
702,433056.25,760693.75,2903.00000000
703,441281.25,760593.75,2897.00000000
704,450118.75,760618.75,2552.00000000
705,445287.5,760662.5,2654.00000000
706,449118.75,760637.5,2558.00000000
707,435493.75,760668.75,2897.00000000
708,441531.25,760606.25,2892.00000000
709,435350,760631.25,2899.00000000
710,445181.25,760656.25,2646.00000000
711,438875,760631.25,2881.00000000
712,449450,760625,2551.00000000
713,436381.25,760600,2959.00000000
714,437250,760618.75,2938.00000000
715,434487.5,760587.5,2891.00000000
716,445543.75,760587.5,2657.00000000
717,432775,760481.25,2884.00000000
718,445043.75,760593.75,2635.00000000
719,435056.25,760562.5,2895.00000000
720,433431.25,760556.25,2870.00000000
721,436956.25,760556.25,2915.00000000
722,437756.25,760493.75,2929.00000000
723,434918.75,760525,2887.00000000
724,437387.5,760437.5,2931.00000000
725,438718.75,760543.75,2878.00000000
726,439812.5,760468.75,2873.00000000
727,441500,760506.25,2877.00000000
728,443975,760512.5,2676.00000000
729,435268.75,760456.25,2895.00000000
730,431843.75,760387.5,2890.00000000
731,435200,760475,2897.00000000
732,435612.5,760431.25,2892.00000000
733,439443.75,760462.5,2860.00000000
734,429256.25,760412.5,2694.00000000
735,438781.25,760368.75,2878.00000000
736,441193.75,760368.75,2901.00000000
737,446293.75,760318.75,2629.00000000
738,439168.75,760362.5,2857.00000000
739,434793.75,760325,2887.00000000
740,435225,760250,2905.00000000
741,445718.75,760268.75,2644.00000000
742,442568.75,760243.75,2827.00000000
743,447081.25,760218.75,2620.00000000
744,439925,760306.25,2876.00000000
745,445412.5,760306.25,2620.00000000
746,433281.25,760212.5,2880.00000000
747,434668.75,760293.75,2876.00000000
748,439412.5,760275,2863.00000000
749,445956.25,760293.75,2619.00000000
750,441256.25,760225,2904.00000000
751,443631.25,760250,2734.00000000
752,434225,760231.25,2862.00000000
753,429218.75,760225,2701.00000000
754,432581.25,760043.75,2878.00000000
755,436418.75,760225,2945.00000000
756,441356.25,760218.75,2903.00000000
757,446118.75,760218.75,2614.00000000
758,429300,760131.25,2693.00000000
759,434518.75,760187.5,2872.00000000
760,438337.5,760193.75,2881.00000000
761,440281.25,760156.25,2900.00000000
762,440081.25,760193.75,2887.00000000
763,445868.75,760168.75,2636.00000000
