cat,east,north,altitud
410,439306.25,763106.25,2964.0
411,443250.0,763062.5,2854.0
412,440006.25,763081.25,2976.0
413,436381.25,763056.25,2961.0
414,436812.5,763037.5,2964.0
415,434181.25,763031.25,2931.0
416,439225.0,763043.75,2967.0
417,436318.75,763031.25,2965.0
418,436506.25,763031.25,2964.0
419,436718.75,763012.5,2968.0
420,443925.0,762987.5,2833.0
421,432243.75,763006.25,2884.0
422,437612.5,763006.25,2948.0
423,434962.5,762987.5,2933.0
424,436356.25,762906.25,2970.0
425,436643.75,762993.75,2970.0
426,440325.0,762987.5,2961.0
427,436550.0,762843.75,2971.0
428,439718.75,762981.25,2988.0
429,440193.75,762981.25,2966.0
430,435331.25,762956.25,2929.0
431,444093.75,762956.25,2821.0
432,434275.0,762912.5,2933.0
433,440143.75,762881.25,2978.0
434,440331.25,762937.5,2962.0
435,440562.5,762887.5,2951.0
436,437075.0,762912.5,2961.0
437,434937.5,762868.75,2939.0
438,436281.25,762918.75,2967.0
439,436943.75,762681.25,2958.0
440,439031.25,762968.75,2966.0
441,443975.0,762856.25,2834.0
442,445462.5,762818.75,2726.0
443,435331.25,762818.75,2936.0
444,438406.25,762768.75,2954.0
445,434306.25,762793.75,2937.0
446,442731.25,762731.25,2885.0
447,440700.0,762768.75,2944.0
448,440875.0,762656.25,2946.0
449,440000.0,762706.25,2961.0
450,437962.5,762693.75,2947.0
451,442337.5,762756.25,2867.0
452,434831.25,762693.75,2944.0
453,442243.75,762731.25,2875.0
454,431450.0,762662.5,2874.0
455,441525.0,762631.25,2940.0
456,434525.0,762562.5,2949.0
457,442025.0,762656.25,2904.0
458,444100.0,762675.0,2810.0
459,434093.75,762662.5,2919.0
460,441081.25,762656.25,2938.0
461,444412.5,762593.75,2811.0
462,439212.5,762668.75,2924.0
463,445625.0,762631.25,2727.0
464,438350.0,762612.5,2947.0
465,437481.25,762637.5,2952.0
466,435100.0,762631.25,2942.0
467,437612.5,762606.25,2947.0
468,437862.5,762618.75,2942.0
469,441237.5,762618.75,2922.0
470,436512.5,762543.75,2981.0
471,437775.0,762556.25,2944.0
472,439618.75,762506.25,2945.0
473,441900.0,762518.75,2904.0
474,443531.25,762512.5,2833.0
475,434875.0,762506.25,2947.0
476,438293.75,762493.75,2937.0
477,442625.0,762431.25,2867.0
478,445106.25,762418.75,2753.0
479,442325.0,762425.0,2889.0
480,447793.75,762431.25,2635.0
481,445612.5,762387.5,2737.0
482,447100.0,762406.25,2709.0
483,437218.75,762275.0,2982.0
484,447225.0,762418.75,2697.0
485,435800.0,762362.5,2966.0
486,442062.5,762393.75,2891.0
487,432943.75,762343.75,2895.0
488,442218.75,762368.75,2881.0
489,438093.75,762318.75,2947.0
490,432493.75,762331.25,2871.0
491,434562.5,762318.75,2953.0
492,434306.25,762293.75,2927.0
493,446662.5,762106.25,2713.0
494,434675.0,762281.25,2953.0
495,436700.0,762218.75,2991.0
496,441362.5,762281.25,2890.0
